KEY,VALUE,REMARKS
fullTimeEmployees,221000.0,
maxAge,1.0,
ebitdaMargins,0.49418998,
profitMargins,0.36686,
grossMargins,0.68402,
operatingCashflow,89034997760.0,
revenueGrowth,0.124,
operatingMargins,0.42055,
ebitda,97982996480.0,
targetLowPrice,250.0,
grossProfits,135620000000.0,
freeCashflow,49479000064.0,
targetMedianPrice,330.0,
currentPrice,286.15,
earningsGrowth,0.031,
currentRatio,1.785,
returnOnAssets,0.14919,
numberOfAnalystOpinions,47.0,
targetMeanPrice,333.0,
debtToEquity,47.075,
returnOnEquity,0.47151002,
targetHighPrice,411.0,
totalCash,104748998656.0,
totalDebt,78399995904.0,
totalRevenue,198269992960.0,
totalCashPerShare,14.045,
revenuePerShare,26.45,
quickRatio,1.567,
recommendationMean,1.7,
isEsgPopulated,0.0,
gmtOffSetMilliseconds,-14400000.0,
enterpriseToRevenue,10.631,
enterpriseToEbitda,21.511,
52WeekChange,-0.06072545,
forwardEps,11.93,
sharesOutstanding,7457889792.0,
bookValue,22.313,
sharesShort,38192351.0,
sharesPercentSharesOut,0.0050999997,
lastFiscalYearEnd,1656547200.0,
heldPercentInstitutions,0.72037005,
netIncomeToCommon,72737996800.0,
trailingEps,9.52,
lastDividendValue,0.62,
SandP52WeekChange,-0.056043804,
priceToBook,12.824363,
heldPercentInsiders,0.00074,
nextFiscalYearEnd,1719705600.0,
mostRecentQuarter,1656547200.0,
shortRatio,1.43,
sharesShortPreviousMonthDate,1656547200.0,
floatShares,7450732296.0,
beta,0.927206,
enterpriseValue,2107726757888.0,
priceHint,2.0,
lastSplitDate,1045526400.0,
lastDividendDate,1660694400.0,
earningsQuarterlyGrowth,0.017,
priceToSalesTrailing12Months,10.76348,
dateShortInterest,1659052800.0,
pegRatio,1.86,
forwardPE,23.985748,
shortPercentOfFloat,0.0050999997,
sharesShortPriorMonth,38896339.0,
impliedSharesOutstanding,0.0,
previousClose,290.17,
regularMarketOpen,288.9,
twoHundredDayAverage,293.6158,
trailingAnnualDividendYield,0.008546714,
payoutRatio,0.2508,
regularMarketDayHigh,289.25,
averageDailyVolume10Day,20168540.0,
regularMarketPreviousClose,290.17,
fiftyDayAverage,267.0292,
trailingAnnualDividendRate,2.48,
open,288.9,
averageVolume10days,20168540.0,
dividendRate,2.48,
exDividendDate,1660694400.0,
regularMarketDayLow,285.56,
trailingPE,30.057772,
regularMarketVolume,20529243.0,
marketCap,2134075113472.0,
averageVolume,26469567.0,
dayLow,285.56,
ask,285.19,
askSize,800.0,
volume,20529243.0,
fiftyTwoWeekHigh,349.67,
fiveYearAvgDividendYield,1.23,
fiftyTwoWeekLow,241.51,
bid,285.0,
tradeable,0.0,
dividendYield,0.0085,
bidSize,900.0,
dayHigh,289.25,
regularMarketPrice,286.15,
trailingPegRatio,2.1803,
